'S {9054 : 1 , 9056 : 1 , 9061 : 1 , 9068 : 1 , 9124 : 1 , 9126 : 1 , 9133 : 1 , 9142 : 1 , 9143 : 1 , 9174 : 1 , 9183 : 1 , 9202 : 1 , 9292 : 1 , 9377 : 1 , 9387 : 1 , 9424 : 1 , 9432 : 1 , 9434 : 1 , 9457 : 1 , 9493 : 1 , 9494 : 1 , 9495 : 1 , 9498 : 1 , 9501 : 1 , 9515 : 1 , 9524 : 1 , 9533 : 1 , 9595 : 1 , 9649 : 1 , 9665 : 1 , 9680 : 2 , 9686 : 1 , 9705 : 1 , } 
'bankrupt {9637 : 1 , } 
-- {9036 : 1 , 9043 : 1 , 9046 : 2 , 9055 : 2 , 9060 : 4 , 9110 : 6 , 9141 : 2 , 9152 : 1 , 9170 : 3 , 9186 : 1 , 9212 : 2 , 9230 : 2 , 9244 : 2 , 9322 : 1 , 9372 : 1 , 9390 : 1 , 9402 : 2 , 9409 : 1 , 9436 : 1 , 9488 : 2 , 9516 : 2 , 9521 : 1 , 9529 : 2 , 9532 : 2 , 9541 : 1 , 9549 : 1 , 9583 : 5 , 9667 : 1 , 9679 : 1 , 9684 : 1 , 9704 : 1 , } 
-198 {9177 : 1 , } 
-1ST-QT {9029 : 1 , } 
-2 {9003 : 1 , } 
-2N {9333 : 1 , } 
-2ND-Q {9049 : 1 , 9427 : 1 , } 
-3R {9235 : 1 , } 
-3RD-Q {9576 : 1 , } 
-3RD-QT {9425 : 1 , } 
-4 {9311 : 1 , 9316 : 1 , } 
-4T {9366 : 1 , } 
-4TH {9034 : 1 , 9237 : 1 , 9562 : 1 , 9605 : 1 , } 
-AFF {9459 : 1 , } 
-AFFILIATE-SE {9568 : 1 , } 
-AMBRIT {9661 : 1 , } 
-ATAR {9006 : 1 , } 
-ATT- {9043 : 1 , } 
-BEGINS {9008 : 1 , } 
-BID-COUL {9638 : 1 , } 
-BUYS {9619 : 1 , } 
-C {9081 : 1 , } 
-CHANGES {9563 : 1 , } 
-COMP {9059 : 1 , 9608 : 1 , } 
-COMPLE {9239 : 1 , } 
-DE {9056 : 1 , 9451 : 1 , } 
-DEBT {9623 : 1 , } 
-DEBT-UP {9424 : 1 , } 
-DIRECT {9504 : 1 , } 
-E {9166 : 1 , 9222 : 1 , } 
-ENDS-OFFE {9285 : 1 , } 
-ENDS-P {9431 : 1 , } 
-ENDS-SA {9303 : 1 , } 
-EXPANDS-INT {9401 : 1 , } 
-EXPECTS-EUR {9298 : 1 , } 
-F {9043 : 1 , 9342 : 1 , } 
-FILES-FO {9099 : 1 , } 
-FILES-FOR {9062 : 1 , } 
-FIXES-RI {9088 : 1 , } 
-FORMS-OF {9368 : 1 , } 
-Ferruzzi-s {9152 : 1 , } 
-G {9564 : 1 , } 
-GETS {9262 : 1 , 9331 : 1 , } 
-GETS-53.0 {9017 : 1 , } 
-GETS-99.2 {9016 : 1 , } 
-GETS-APPR {9546 : 1 , } 
-GETS-FDA {9542 : 1 , } 
-GETS-ORD {9105 : 1 , } 
-GETS-TEX {9241 : 1 , } 
-IN {9341 : 1 , } 
-IN-DEFIN {9098 : 1 , } 
-IN-RES {9112 : 1 , } 
-INI {9379 : 1 , } 
-INITIA {9329 : 1 , } 
-INTRODUC {9355 : 1 , } 
-INTRODUCE {9440 : 1 , } 
-ISSUES {9106 : 1 , } 
-LONDON {9516 : 1 , 9529 : 1 , } 
-MANNY {9372 : 1 , } 
-MO {9035 : 1 , } 
-MOE {9372 : 1 , } 
-NAMES-NEW {9548 : 1 , } 
-NEW-MAIN {9421 : 1 , } 
-O {9540 : 1 , 9569 : 1 , } 
-OPENING {9236 : 1 , } 
-PHILLIPS {9204 : 1 , } 
-PLAN {9496 : 1 , } 
-PLANS-IN {9639 : 1 , } 
-PORTUGAL-INITI {9696 : 1 , } 
-PR {9350 : 1 , } 
-PROPOSAL {9036 : 1 , } 
-PUBLIC-OFFER {9110 : 1 , } 
-RE {9446 : 1 , } 
-RESERVES {9583 : 1 , } 
-S {9255 : 1 , 9284 : 1 , 9467 : 1 , 9570 : 1 , } 
-SAID-TRUMP {9423 : 1 , } 
-SAYS-DI {9526 : 1 , } 
-SAYS-KODAK {9633 : 1 , } 
-SAYS-SE {9109 : 1 , } 
-SE {9453 : 1 , 9477 : 1 , 9561 : 1 , } 
-SEE {9462 : 1 , } 
-SEES {9328 : 1 , } 
-SEES-CAP {9337 : 1 , } 
-SEES-D {9048 : 1 , } 
-SEES-H {9458 : 1 , } 
-SEES-SAL {9330 : 1 , } 
-SEL {9086 : 1 , } 
-SELLS-ADDITI {9557 : 1 , } 
-SELLS-POSIT {9487 : 1 , } 
-SET {9385 : 1 , 9438 : 1 , } 
-SETS {9233 : 1 , 9507 : 1 , 9588 : 1 , } 
-SETS-3 {9599 : 1 , } 
-SETS-RE {9414 : 1 , } 
-SETS-S {9371 : 1 , } 
-SETS-TW {9268 : 1 , } 
-SHAR {9644 : 1 , } 
-SIGNS-D {9677 : 1 , } 
-STILL {9403 : 1 , } 
-SURROUNDED {9581 : 1 , } 
-T {9242 : 1 , 9288 : 1 , 9443 : 1 , } 
-TAKEOVER {9087 : 1 , } 
-TEL {9075 : 1 , } 
-TO {9024 : 1 , 9032 : 1 , 9038 : 1 , 9251 : 1 , 9465 : 1 , 9481 : 1 , 9505 : 1 , 9522 : 1 , } 
-TO-ACQU {9381 : 1 , } 
-TO-B {9258 : 1 , 9434 : 1 , } 
-TO-BUY {9553 : 1 , } 
-TO-BUY-BACK {9367 : 1 , } 
-TO-CUT {9289 : 1 , } 
-TO-HAVE {9232 : 1 , } 
-TO-OP {9552 : 1 , } 
-TO-PURCH {9033 : 1 , } 
-TO-SHIP-SA {9071 : 1 , } 
-TO-UNVEIL {9483 : 1 , } 
-TSENG- {9390 : 1 , } 
-UNIT {9082 : 1 , 9338 : 1 , 9484 : 1 , 9643 : 1 , } 
-UNIT-BUYS {9416 : 1 , } 
-UNIT-I {9009 : 1 , } 
-UNIT-LINKS {9622 : 1 , } 
-UNIT-NAME {9070 : 1 , } 
-UNIT-P {9669 : 1 , } 
-UNIT-SE {9375 : 1 , } 
-UNIT-SEL {9291 : 1 , } 
-USAIR {9108 : 1 , } 
-USS-UNIT-RAIS {9014 : 1 , } 
-WILLIN {9650 : 1 , } 
-WINS-1 {9420 : 1 , } 
-YE {9115 : 1 , } 
-YEA {9113 : 1 , } 
... {9154 : 1 , 9170 : 1 , 9174 : 1 , 9180 : 2 , 9206 : 1 , 9256 : 2 , 9500 : 1 , 9604 : 1 , 9637 : 1 , } 
/AUTHOR {9022 : 1 , 9058 : 1 , 9076 : 1 , 9110 : 1 , 9139 : 1 , 9154 : 1 , 9170 : 1 , 9180 : 1 , 9203 : 1 , 9225 : 1 , 9244 : 1 , 9275 : 1 , 9310 : 1 , 9336 : 1 , 9436 : 1 , 9470 : 1 , 9479 : 1 , 9490 : 1 , 9521 : 1 , 9581 : 1 , 9638 : 1 , 9646 : 1 , 9651 : 1 , 9658 : 1 , 9667 : 1 , 9673 : 1 , 9679 : 1 , } 
/BODY {9001 : 1 , 9002 : 1 , 9003 : 1 , 9006 : 1 , 9007 : 1 , 9008 : 1 , 9009 : 1 , 9011 : 1 , 9012 : 1 , 9013 : 1 , 9014 : 1 , 9015 : 1 , 9016 : 1 , 9017 : 1 , 9018 : 1 , 9019 : 1 , 9020 : 1 , 9021 : 1 , 9022 : 1 , 9023 : 1 , 9024 : 1 , 9025 : 1 , 9026 : 1 , 9027 : 1 , 9029 : 1 , 9030 : 1 , 9031 : 1 , 9032 : 1 , 9033 : 1 , 9034 : 1 , 9035 : 1 , 9036 : 1 , 9037 : 1 , 9038 : 1 , 9040 : 1 , 9042 : 1 , 9043 : 1 , 9044 : 1 , 9045 : 1 , 9046 : 1 , 9047 : 1 , 9048 : 1 , 9049 : 1 , 9050 : 1 , 9051 : 1 , 9052 : 1 , 9053 : 1 , 9055 : 1 , 9056 : 1 , 9057 : 1 , 9058 : 1 , 9059 : 1 , 9060 : 1 , 9061 : 1 , 9062 : 1 , 9063 : 1 , 9064 : 1 , 9065 : 1 , 9066 : 1 , 9069 : 1 , 9070 : 1 , 9071 : 1 , 9072 : 1 , 9074 : 1 , 9075 : 1 , 9076 : 1 , 9077 : 1 , 9078 : 1 , 9079 : 1 , 9081 : 1 , 9082 : 1 , 9083 : 1 , 9084 : 1 , 9085 : 1 , 9086 : 1 , 9087 : 1 , 9088 : 1 , 9089 : 1 , 9090 : 1 , 9091 : 1 , 9092 : 1 , 9093 : 1 , 9094 : 1 , 9095 : 1 , 9096 : 1 , 9097 : 1 , 9098 : 1 , 9099 : 1 , 9100 : 1 , 9101 : 1 , 9102 : 1 , 9103 : 1 , 9104 : 1 , 9105 : 1 , 9106 : 1 , 9107 : 1 , 9108 : 1 , 9109 : 1 , 9110 : 1 , 9111 : 1 , 9112 : 1 , 9113 : 1 , 9114 : 1 , 9115 : 1 , 9116 : 1 , 9117 : 1 , 9120 : 1 , 9123 : 1 , 9124 : 1 , 9125 : 1 , 9126 : 1 , 9127 : 1 , 9129 : 1 , 9130 : 1 , 9133 : 1 , 9134 : 1 , 9135 : 1 , 9136 : 1 , 9138 : 1 , 9139 : 1 , 9140 : 1 , 9141 : 1 , 9142 : 1 , 9143 : 1 , 9144 : 1 , 9145 : 1 , 9146 : 1 , 9147 : 1 , 9149 : 1 , 9150 : 1 , 9151 : 1 , 9153 : 1 , 9154 : 1 , 9155 : 1 , 9156 : 1 , 9157 : 1 , 9158 : 1 , 9160 : 1 , 9161 : 1 , 9163 : 1 , 9164 : 1 , 9165 : 1 , 9166 : 1 , 9167 : 1 , 9168 : 1 , 9169 : 1 , 9170 : 1 , 9171 : 1 , 9172 : 1 , 9173 : 1 , 9174 : 1 , 9175 : 1 , 9176 : 1 , 9177 : 1 , 9178 : 1 , 9179 : 1 , 9180 : 1 , 9181 : 1 , 9182 : 1 , 9183 : 1 , 9184 : 1 , 9185 : 1 , 9186 : 1 , 9187 : 1 , 9188 : 1 , 9189 : 1 , 9190 : 1 , 9191 : 1 , 9192 : 1 , 9193 : 1 , 9194 : 1 , 9195 : 1 , 9196 : 1 , 9197 : 1 , 9198 : 1 , 9199 : 1 , 9200 : 1 , 9201 : 1 , 9202 : 1 , 9203 : 1 , 9204 : 1 , 9205 : 1 , 9206 : 1 , 9207 : 1 , 9208 : 1 , 9209 : 1 , 9210 : 1 , 9211 : 1 , 9212 : 1 , 9213 : 1 , 9214 : 1 , 9215 : 1 , 9216 : 1 , 9217 : 1 , 9218 : 1 , 9219 : 1 , 9220 : 1 , 9221 : 1 , 9222 : 1 , 9223 : 1 , 9224 : 1 , 9225 : 1 , 9226 : 1 , 9227 : 1 , 9229 : 1 , 9230 : 1 , 9231 : 1 , 9232 : 1 , 9233 : 1 , 9234 : 1 , 9235 : 1 , 9236 : 1 , 9237 : 1 , 9238 : 1 , 9239 : 1 , 9240 : 1 , 9241 : 1 , 9242 : 1 , 9244 : 1 , 9245 : 1 , 9246 : 1 , 9247 : 1 , 9248 : 1 , 9249 : 1 , 9250 : 1 , 9251 : 1 , 9252 : 1 , 9253 : 1 , 9254 : 1 , 9255 : 1 , 9256 : 1 , 9257 : 1 , 9258 : 1 , 9259 : 1 , 9260 : 1 , 9261 : 1 , 9262 : 1 , 9263 : 1 , 9265 : 1 , 9266 : 1 , 9267 : 1 , 9268 : 1 , 9269 : 1 , 9270 : 1 , 9271 : 1 , 9272 : 1 , 9273 : 1 , 9274 : 1 , 9275 : 1 , 9276 : 1 , 9277 : 1 , 9278 : 1 , 9279 : 1 , 9280 : 1 , 9281 : 1 , 9283 : 1 , 9284 : 1 , 9285 : 1 , 9286 : 1 , 9287 : 1 , 9288 : 1 , 9289 : 1 , 9290 : 1 , 9291 : 1 , 9292 : 1 , 9293 : 1 , 9294 : 1 , 9295 : 1 , 9296 : 1 , 9297 : 1 , 9298 : 1 , 9299 : 1 , 9300 : 1 , 9301 : 1 , 9302 : 1 , 9303 : 1 , 9305 : 1 , 9306 : 1 , 9307 : 1 , 9309 : 1 , 9310 : 1 , 9311 : 1 , 9312 : 1 , 9313 : 1 , 9314 : 1 , 9315 : 1 , 9316 : 1 , 9317 : 1 , 9318 : 1 , 9319 : 1 , 9320 : 1 , 9321 : 1 , 9322 : 1 , 9323 : 1 , 9324 : 1 , 9325 : 1 , 9326 : 1 , 9327 : 1 , 9328 : 1 , 9329 : 1 , 9330 : 1 , 9331 : 1 , 9332 : 1 , 9333 : 1 , 9334 : 1 , 9335 : 1 , 9336 : 1 , 9337 : 1 , 9338 : 1 , 9339 : 1 , 9340 : 1 , 9341 : 1 , 9342 : 1 , 9343 : 1 , 9344 : 1 , 9345 : 1 , 9346 : 1 , 9347 : 1 , 9348 : 1 , 9349 : 1 , 9350 : 1 , 9351 : 1 , 9352 : 1 , 9353 : 1 , 9354 : 1 , 9355 : 1 , 9356 : 1 , 9358 : 1 , 9359 : 1 , 9360 : 1 , 9361 : 1 , 9362 : 1 , 9363 : 1 , 9364 : 1 , 9365 : 1 , 9366 : 1 , 9367 : 1 , 9368 : 1 , 9369 : 1 , 9370 : 1 , 9371 : 1 , 9372 : 1 , 9373 : 1 , 9374 : 1 , 9375 : 1 , 9376 : 1 , 9378 : 1 , 9379 : 1 , 9380 : 1 , 9381 : 1 , 9382 : 1 , 9383 : 1 , 9384 : 1 , 9385 : 1 , 9386 : 1 , 9387 : 1 , 9388 : 1 , 9389 : 1 , 9390 : 1 , 9391 : 1 , 9392 : 1 , 9393 : 1 , 9394 : 1 , 9395 : 1 , 9396 : 1 , 9398 : 1 , 9399 : 1 , 9400 : 1 , 9401 : 1 , 9402 : 1 , 9403 : 1 , 9404 : 1 , 9405 : 1 , 9406 : 1 , 9407 : 1 , 9408 : 1 , 9410 : 1 , 9411 : 1 , 9413 : 1 , 9414 : 1 , 9415 : 1 , 9416 : 1 , 9417 : 1 , 9418 : 1 , 9420 : 1 , 9421 : 1 , 9422 : 1 , 9423 : 1 , 9424 : 1 , 9425 : 1 , 9427 : 1 , 9428 : 1 , 9429 : 1 , 9431 : 1 , 9432 : 1 , 9433 : 1 , 9434 : 1 , 9436 : 1 , 9437 : 1 , 9438 : 1 , 9439 : 1 , 9440 : 1 , 9441 : 1 , 9442 : 1 , 9443 : 1 , 9444 : 1 , 9445 : 1 , 9446 : 1 , 9447 : 1 , 9448 : 1 , 9449 : 1 , 9450 : 1 , 9451 : 1 , 9452 : 1 , 9453 : 1 , 9454 : 1 , 9455 : 1 , 9456 : 1 , 9458 : 1 , 9459 : 1 , 9460 : 1 , 9462 : 1 , 9464 : 1 , 9465 : 1 , 9466 : 1 , 9467 : 1 , 9468 : 1 , 9470 : 1 , 9471 : 1 , 9472 : 1 , 9473 : 1 , 9474 : 1 , 9475 : 1 , 9476 : 1 , 9477 : 1 , 9478 : 1 , 9479 : 1 , 9480 : 1 , 9481 : 1 , 9482 : 1 , 9483 : 1 , 9484 : 1 , 9485 : 1 , 9486 : 1 , 9487 : 1 , 9488 : 1 , 9489 : 1 , 9490 : 1 , 9492 : 1 , 9496 : 1 , 9497 : 1 , 9498 : 1 , 9500 : 1 , 9501 : 1 , 9502 : 1 , 9503 : 1 , 9504 : 1 , 9505 : 1 , 9506 : 1 , 9507 : 1 , 9508 : 1 , 9509 : 1 , 9510 : 1 , 9512 : 1 , 9513 : 1 , 9514 : 1 , 9515 : 1 , 9517 : 1 , 9518 : 1 , 9519 : 1 , 9520 : 1 , 9521 : 1 , 9522 : 1 , 9523 : 1 , 9524 : 1 , 9525 : 1 , 9526 : 1 , 9527 : 1 , 9528 : 1 , 9530 : 1 , 9531 : 1 , 9532 : 1 , 9533 : 1 , 9535 : 1 , 9536 : 1 , 9537 : 1 , 9538 : 1 , 9539 : 1 , 9540 : 1 , 9541 : 1 , 9542 : 1 , 9543 : 1 , 9544 : 1 , 9545 : 1 , 9546 : 1 , 9547 : 1 , 9548 : 1 , 9549 : 1 , 9550 : 1 , 9551 : 1 , 9552 : 1 , 9553 : 1 , 9554 : 1 , 9555 : 1 , 9556 : 1 , 9557 : 1 , 9558 : 1 , 9559 : 1 , 9560 : 1 , 9561 : 1 , 9562 : 1 , 9563 : 1 , 9564 : 1 , 9566 : 1 , 9567 : 1 , 9568 : 1 , 9569 : 1 , 9570 : 1 , 9571 : 1 , 9572 : 1 , 9573 : 1 , 9576 : 1 , 9577 : 1 , 9578 : 1 , 9579 : 1 , 9580 : 1 , 9581 : 1 , 9582 : 1 , 9583 : 1 , 9584 : 1 , 9585 : 1 , 9587 : 1 , 9588 : 1 , 9589 : 1 , 9590 : 1 , 9591 : 1 , 9592 : 1 , 9593 : 1 , 9594 : 1 , 9596 : 1 , 9599 : 1 , 9601 : 1 , 9602 : 1 , 9603 : 1 , 9604 : 1 , 9605 : 1 , 9606 : 1 , 9607 : 1 , 9608 : 1 , 9609 : 1 , 9610 : 1 , 9611 : 1 , 9612 : 1 , 9613 : 1 , 9615 : 1 , 9616 : 1 , 9617 : 1 , 9618 : 1 , 9619 : 1 , 9621 : 1 , 9622 : 1 , 9623 : 1 , 9624 : 1 , 9625 : 1 , 9627 : 1 , 9628 : 1 , 9629 : 1 , 9630 : 1 , 9631 : 1 , 9633 : 1 , 9634 : 1 , 9636 : 1 , 9637 : 1 , 9638 : 1 , 9639 : 1 , 9640 : 1 , 9641 : 1 , 9642 : 1 , 9643 : 1 , 9644 : 1 , 9645 : 1 , 9646 : 1 , 9647 : 1 , 9648 : 1 , 9649 : 1 , 9650 : 1 , 9651 : 1 , 9652 : 1 , 9653 : 1 , 9654 : 1 , 9655 : 1 , 9656 : 1 , 9657 : 1 , 9658 : 1 , 9659 : 1 , 9660 : 1 , 9661 : 1 , 9662 : 1 , 9663 : 1 , 9664 : 1 , 9665 : 1 , 9666 : 1 , 9667 : 1 , 9668 : 1 , 9669 : 1 , 9670 : 1 , 9671 : 1 , 9672 : 1 , 9673 : 1 , 9674 : 1 , 9675 : 1 , 9676 : 1 , 9677 : 1 , 9678 : 1 , 9679 : 1 , 9680 : 1 , 9681 : 1 , 9682 : 1 , 9683 : 1 , 9684 : 1 , 9685 : 1 , 9687 : 1 , 9688 : 1 , 9689 : 1 , 9690 : 1 , 9691 : 1 , 9692 : 1 , 9693 : 1 , 9694 : 1 , 9695 : 1 , 9696 : 1 , 9697 : 1 , 9700 : 1 , 9701 : 1 , 9702 : 1 , 9703 : 1 , 9704 : 1 , 9705 : 1 , } 
